"keywords","year","_desc","_url","id"
"#AGENTSOFCHANGE,#CHANGEAGENT,#CIVILSOCIETY,#EQUALITY,#PAR,#PARTNERSHIPS,#WORLDINEMOTION","2019","Enjoying my morning walk to @the_oecd Forum 2019 World in EMotion. Yesterday I had the opportunity to return as a Discussion Leader at this year’s civil society working session “Unlocking the Potential for Partnership” where I had the opportunity some exchange ideas with outstanding global NGO leaders on how we can strengthen cooperation among civil society  private sector and governments. Ready for day 2! . . . . . . . . . . . #oecd #oecdforum #oecdforum2019 #worldinemotion #ocde #partnerships #civilsociety #agentsofchange #changeagent #equality #forumocde","https://www.instagram.com/p/BxtzLqEh-xU/","2019-05-21 09.07.39 2048518506982927444_forumocde"
"#AGENTSOFCHANGE,#CHANGEAGENT,#CIVILSOCIETY,#EQUALITY,#PAR,#PARTNERSHIPS,#WORLDINEMOTION","2019","Enjoying my morning walk to @the_oecd Forum 2019 World in EMotion. Yesterday I had the opportunity to return as a Discussion Leader at this year’s civil society working session “Unlocking the Potential for Partnership” where I had the opportunity some exchange ideas with outstanding global NGO leaders on how we can strengthen cooperation among civil society  private sector and governments. Ready for day 2! . . . . . . . . . . . #oecd #oecdforum #oecdforum2019 #worldinemotion #ocde #partnerships #civilsociety #agentsofchange #changeagent #equality #forumocde","https://www.instagram.com/p/BxtzLqFBjy9/","2019-05-21 09.07.39 2048518506991205565_forumocde"
"#AGENTSOFCHANGE,#CHANGEAGENT,#CIVILSOCIETY,#EQUALITY,#PAR,#PARTNERSHIPS,#WORLDINEMOTION","2019","Enjoying my morning walk to @the_oecd Forum 2019 World in EMotion. Yesterday I had the opportunity to return as a Discussion Leader at this year’s civil society working session “Unlocking the Potential for Partnership” where I had the opportunity some exchange ideas with outstanding global NGO leaders on how we can strengthen cooperation among civil society  private sector and governments. Ready for day 2! . . . . . . . . . . . #oecd #oecdforum #oecdforum2019 #worldinemotion #ocde #partnerships #civilsociety #agentsofchange #changeagent #equality #forumocde","https://www.instagram.com/p/BxtzLqFhQb2/","2019-05-21 09.07.39 2048518506999514870_forumocde"
"#AGENTSOFCHANGE,#CHANGEAGENT,#CIVILSOCIETY,#EQUALITY,#PAR,#PARTNERSHIPS,#WORLDINEMOTION","2019","Enjoying my morning walk to @the_oecd Forum 2019 World in EMotion. Yesterday I had the opportunity to return as a Discussion Leader at this year’s civil society working session “Unlocking the Potential for Partnership” where I had the opportunity some exchange ideas with outstanding global NGO leaders on how we can strengthen cooperation among civil society  private sector and governments. Ready for day 2! . . . . . . . . . . . #oecd #oecdforum #oecdforum2019 #worldinemotion #ocde #partnerships #civilsociety #agentsofchange #changeagent #equality #forumocde","https://www.instagram.com/p/BxtzLqFhsX_/","2019-05-21 09.07.39 2048518506999629311_forumocde"
"#AGENTSOFCHANGE,#CHANGEAGENT,#CIVILSOCIETY,#EQUALITY,#PAR,#PARTNERSHIPS,#WORLDINEMOTION","2019","Enjoying my morning walk to @the_oecd Forum 2019 World in EMotion. Yesterday I had the opportunity to return as a Discussion Leader at this year’s civil society working session “Unlocking the Potential for Partnership” where I had the opportunity some exchange ideas with outstanding global NGO leaders on how we can strengthen cooperation among civil society  private sector and governments. Ready for day 2! . . . . . . . . . . . #oecd #oecdforum #oecdforum2019 #worldinemotion #ocde #partnerships #civilsociety #agentsofchange #changeagent #equality #forumocde","https://www.instagram.com/p/BxtzLqDhLaD/","2019-05-21 09.07.39 2048518522845592949_forumocde"
"#EVENT,#INSPIRATION,#INTELLIGENCECOLLECTIVE,#INTERNATIONAL,#INTERNATIONALMEETING,#MMLIFEDESIGN,#THEFUTUREOFWORK,#WORLDINEMOTION","2019","#forumocde #worldinemotion #intelligencecollective #event #ocde #mmlifedesign #inspiration #internationalmeeting #thefutureofwork","https://www.instagram.com/p/BxvCI8aiLrn/","2019-05-21 20.37.38 2048865766195378919_forumocde"
"#EVENT,#INSPIRATION,#INTELLIGENCECOLLECTIVE,#INTERNATIONAL,#INTERNATIONALMEETING,#MMLIFEDESIGN,#THEFUTUREOFWORK,#WORLDINEMOTION","2019","#forumocde #worldinemotion #intelligencecollective #event #ocde #mmlifedesign #inspiration #internationalmeeting #thefutureofwork","https://www.instagram.com/p/BxvCI8biMy6/","2019-05-21 20.37.38 2048865766212160698_forumocde"
"#EVENT,#INSPIRATION,#INTELLIGENCECOLLECTIVE,#INTERNATIONAL,#INTERNATIONALMEETING,#MMLIFEDESIGN,#THEFUTUREOFWORK,#WORLDINEMOTION","2019","#forumocde #worldinemotion #intelligencecollective #event #ocde #mmlifedesign #inspiration #internationalmeeting #thefutureofwork","https://www.instagram.com/p/BxvCI8ci29O/","2019-05-21 20.37.38 2048865766229110606_forumocde"
"#EVENT,#INSPIRATION,#INTELLIGENCECOLLECTIVE,#INTERNATIONAL,#INTERNATIONALMEETING,#MMLIFEDESIGN,#THEFUTUREOFWORK,#WORLDINEMOTION","2019","#forumocde #worldinemotion #intelligencecollective #event #ocde #mmlifedesign #inspiration #internationalmeeting #thefutureofwork","https://www.instagram.com/p/BxvCI8diRVG/","2019-05-21 20.37.38 2048865766245733702_forumocde"
"#EVENT,#INSPIRATION,#INTELLIGENCECOLLECTIVE,#INTERNATIONAL,#INTERNATIONALMEETING,#MMLIFEDESIGN,#THEFUTUREOFWORK,#WORLDINEMOTION","2019","#forumocde #worldinemotion #intelligencecollective #event #ocde #mmlifedesign #inspiration #internationalmeeting #thefutureofwork","https://www.instagram.com/p/BxvCI8eCe9o/","2019-05-21 20.37.38 2048865766254178152_forumocde"
